course_id,user_id,role,section_id,status,associated_user_id
sdemo-grade2-000,teacher1,teacher,grade2-a,active,
sdemo-grade2-000,teacher2,teacher,grade2-b,active,
sdemo-mtheory-000,teacher1,teacher,mtheory-a,active,
sdemo-mtheory-000,teacher2,teacher,mtheory-b,active,
sdemo-math8-000,teacher1,teacher,math8-a,active,
sdemo-math8-000,teacher2,teacher,math8-b,active,
sdemo-geology-000,teacher1,teacher,geology-a,active,
sdemo-geology-000,teacher2,teacher,geology-b,active,
sdemo-staffpd-000,principal,teacher,,active,
sdemo-welcome-000,principal,teacher,,active,
sdemo-grade2-000,student01,student,grade2-a,active,
sdemo-grade2-000,student02,student,grade2-a,active,
sdemo-grade2-000,student03,student,grade2-a,active,
sdemo-grade2-000,student04,student,grade2-b,active,
sdemo-grade2-000,student05,student,grade2-b,active,
sdemo-grade2-000,student06,student,grade2-b,active,
sdemo-mtheory-000,student01,student,mtheory-a,active,
sdemo-mtheory-000,student02,student,mtheory-a,active,
sdemo-mtheory-000,student03,student,mtheory-a,active,
sdemo-mtheory-000,student04,student,mtheory-b,active,
sdemo-mtheory-000,student05,student,mtheory-b,active,
sdemo-mtheory-000,student06,student,mtheory-b,active,
sdemo-math8-000,student01,student,math8-a,active,
sdemo-math8-000,student02,student,math8-b,active,
sdemo-math8-000,student03,student,math8-a,active,
sdemo-math8-000,student04,student,math8-b,active,
sdemo-math8-000,student05,student,math8-a,active,
sdemo-math8-000,student06,student,math8-b,active,
sdemo-geology-000,student01,student,geology-a,active,
sdemo-geology-000,student02,student,geology-b,active,
sdemo-geology-000,student03,student,geology-a,active,
sdemo-geology-000,student04,student,geology-b,active,
sdemo-geology-000,student05,student,geology-a,active,
sdemo-geology-000,student06,student,geology-b,active,
sdemo-staffpd-000,teacher1,student,,active,
sdemo-staffpd-000,teacher2,student,,active,
sdemo-staffpd-000,teacher3,student,,active,
sdemo-welcome-000,student01,student,,active,
sdemo-welcome-000,student02,student,,active,
sdemo-welcome-000,student03,student,,active,
sdemo-welcome-000,student04,student,,active,
sdemo-welcome-000,student05,student,,active,
sdemo-welcome-000,student06,student,,active,
sdemo-welcome-000,teacher1,student,,active,
sdemo-welcome-000,teacher2,student,,active,
sdemo-welcome-000,teacher3,student,,active,
